"Season","EpisodeNumber","Doctor","Title","Ratings","Quality"
1,1,"Ninth","Rose",7.5,"Good"
1,2,"Ninth","The End of the World",7.6,"Good"
1,3,"Ninth","The Unquiet Dead",7.5,"Good"
1,4,"Ninth","Aliens of London",7,"Regular"
1,5,"Ninth","World War Three",7,"Regular"
1,6,"Ninth","Dalek",8.7,"Great"
1,7,"Ninth","The Long Game",7.1,"Regular"
1,8,"Ninth","Father's Day",8.4,"Good"
1,9,"Ninth","The Empty Child",9.2,"Great"
1,10,"Ninth","The Doctor Dances",9.1,"Great"
1,11,"Ninth","Boom Town",7.1,"Regular"
1,12,"Ninth","Bad Wolf",8.7,"Great"
1,13,"Ninth","The Parting of the Ways",9.1,"Great"
2,1,"Tenth","The Christmas Invasion",8.1,"Good"
2,2,"Tenth","New Earth",7.4,"Regular"
2,3,"Tenth","Tooth and Claw",7.8,"Good"
2,4,"Tenth","School Reunion",8.3,"Good"
2,5,"Tenth","The Girl in the Fireplace",9.3,"Great"
2,6,"Tenth","Rise of the Cybermen",7.8,"Good"
2,7,"Tenth","The Age of Steel",7.9,"Good"
2,8,"Tenth","The Idiot's Lantern",6.7,"Regular"
2,9,"Tenth","The Impossible Planet",8.7,"Great"
2,10,"Tenth","The Satan Pit",8.8,"Great"
2,11,"Tenth","Love & Monsters",6.1,"Bad"
2,12,"Tenth","Fear Her",5.9,"Bad"
2,13,"Tenth","Army of Ghosts",8.5,"Great"
2,14,"Tenth","Doomsday",9.3,"Great"
3,1,"Tenth","The Runaway Bride",7.6,"Good"
3,2,"Tenth","Smith and Jones",8,"Good"
3,3,"Tenth","The Shakespeare Code",7.7,"Good"
3,4,"Tenth","Gridlock",8,"Good"
3,5,"Tenth","Daleks in Manhattan",7,"Regular"
3,6,"Tenth","Evolution of the Daleks",6.9,"Regular"
3,7,"Tenth","The Lazarus Experiment",6.6,"Regular"
3,8,"Tenth","42",7.4,"Regular"
3,9,"Tenth","Human Nature",9,"Great"
3,10,"Tenth","The Family of Blood",9.2,"Great"
3,11,"Tenth","Blink",9.8,"Great"
3,12,"Tenth","Utopia",8.7,"Great"
3,13,"Tenth","The Sound of Drums",8.7,"Great"
3,14,"Tenth","Last of the Time Lords",8.4,"Good"
4,1,"Tenth","Voyage of the Damned",7.6,"Good"
4,2,"Tenth","Partners in Crime",7.8,"Good"
4,3,"Tenth","The Fires of Pompeii",8,"Good"
4,4,"Tenth","Planet of the Ood",8.1,"Good"
4,5,"Tenth","The Sontaran Stratagem",7.5,"Good"
4,6,"Tenth","The Poison Sky",7.5,"Good"
4,7,"Tenth","The Doctor's Daughter",7.6,"Good"
4,8,"Tenth","The Unicorn and the Wasp",7.7,"Good"
4,9,"Tenth","Silence in the Library",9.4,"Great"
4,10,"Tenth","Forest of the Dead",9.5,"Great"
4,11,"Tenth","Midnight",9.1,"Great"
4,12,"Tenth","Turn Left",8.9,"Great"
4,13,"Tenth","The Stolen Earth",9.1,"Great"
4,14,"Tenth","Journey's End",9.2,"Great"
5,1,"Eleventh","The Eleventh Hour",8.8,"Great"
5,2,"Eleventh","The Beast Below",7.6,"Good"
5,3,"Eleventh","Victory of the Daleks",6.7,"Regular"
5,4,"Eleventh","The Time of Angels",8.7,"Great"
5,5,"Eleventh","Flesh and Stone",8.6,"Great"
5,6,"Eleventh","The Vampires of Venice",7,"Regular"
5,7,"Eleventh","Amy's Choice",8.2,"Good"
5,8,"Eleventh","The Hungry Earth",7.3,"Regular"
5,9,"Eleventh","Cold Blood",7.4,"Regular"
5,10,"Eleventh","Vincent and the Doctor",9.3,"Great"
5,11,"Eleventh","The Lodger",8.2,"Good"
5,12,"Eleventh","The Pandorica Opens",9.1,"Great"
5,13,"Eleventh","The Big Bang",9.1,"Great"
6,1,"Eleventh","A Christmas Carol",8.5,"Great"
6,2,"Eleventh","The Impossible Astronaut",8.9,"Great"
6,3,"Eleventh","Day of the Moon",8.8,"Great"
6,4,"Eleventh","The Curse of the Black Spot",6.7,"Regular"
6,5,"Eleventh","The Doctor's Wife",9,"Great"
6,6,"Eleventh","The Rebel Flesh",7.2,"Regular"
6,7,"Eleventh","The Almost People",7.4,"Regular"
6,8,"Eleventh","A Good Man Goes to War",9.1,"Great"
6,9,"Eleventh","Let's Kill Hitler",8,"Good"
6,10,"Eleventh","Night Terrors",7,"Regular"
6,11,"Eleventh","The Girl Who Waited",8.5,"Great"
6,12,"Eleventh","The God Complex",8.1,"Good"
6,13,"Eleventh","Closing Time",7.6,"Good"
6,14,"Eleventh","The Wedding of River Song",8.5,"Great"
7,1,"Eleventh","The Doctor, the Widow and the Wardrobe",7.2,"Regular"
7,2,"Eleventh","Asylum of the Daleks",8.6,"Great"
7,3,"Eleventh","Dinosaurs on a Spaceship",7.4,"Regular"
7,4,"Eleventh","A Town Called Mercy",7.4,"Regular"
7,5,"Eleventh","The Power of Three",7.5,"Good"
7,6,"Eleventh","The Angels Take Manhattan",9,"Great"
7,7,"Eleventh","The Snowmen",8.4,"Good"
7,8,"Eleventh","The Bells of Saint John",7.9,"Good"
7,9,"Eleventh","The Rings of Akhaten",7.3,"Regular"
7,10,"Eleventh","Cold War",7.2,"Regular"
7,11,"Eleventh","Hide",7.7,"Good"
7,12,"Eleventh","Journey to the Centre of the TARDIS",7.4,"Regular"
7,13,"Eleventh","The Crimson Horror",7.3,"Regular"
7,14,"Eleventh","Nightmare in Silver",7.3,"Regular"
7,15,"Eleventh","The Name of the Doctor",9,"Great"
8,1,"Eleventh","The Time of the Doctor",8.4,"Good"
8,2,"Eleventh","Deep Breath",7.9,"Good"
8,3,"Eleventh","Into the Dalek",7.7,"Good"
8,4,"Eleventh","Robot of Sherwood",7,"Regular"
8,5,"Eleventh","Listen",8.9,"Great"
8,6,"Eleventh","Time Heist",7.9,"Good"
8,7,"Eleventh","The Caretaker",7.3,"Regular"
8,8,"Eleventh","Kill the Moon",6.9,"Regular"
8,9,"Eleventh","Mummy on the Orient Express",8.5,"Great"
8,10,"Eleventh","Flatline",8.5,"Great"
8,11,"Eleventh","In the Forest of the Night",6,"Bad"
8,12,"Eleventh","Dark Water",8.6,"Great"
8,13,"Eleventh","Death in Heaven",7.8,"Good"
9,1,"Twelfth","Last Christmas",8.3,"Good"
9,2,"Twelfth","The Magician's Apprentice",8.5,"Great"
9,3,"Twelfth","The Witch's Familiar",8.5,"Great"
9,4,"Twelfth","Under the Lake",8.3,"Good"
9,5,"Twelfth","Before the Flood",8,"Good"
9,6,"Twelfth","The Girl Who Died",7.5,"Good"
9,7,"Twelfth","The Woman Who Lived",7.5,"Good"
9,8,"Twelfth","The Zygon Invasion",7.8,"Good"
9,9,"Twelfth","The Zygon Inversion",8.5,"Great"
9,10,"Twelfth","Sleep No More",5.8,"Bad"
9,11,"Twelfth","Face the Raven",8.5,"Great"
9,12,"Twelfth","Heaven Sent",9.6,"Great"
9,13,"Twelfth","Hell Bent",8.6,"Great"
9,14,"Twelfth","The Husbands of River Song",8.5,"Great"
10,1,"Twelfth","The Return of Doctor Mysterio",7.4,"Regular"
10,2,"Twelfth","The Pilot",7.9,"Good"
10,3,"Twelfth","Smile",7.2,"Regular"
10,4,"Twelfth","Thin Ice",7.3,"Regular"
10,5,"Twelfth","Knock Knock",7.4,"Regular"
10,6,"Twelfth","Oxygen",8.1,"Good"
10,7,"Twelfth","Extremis",8.4,"Good"
10,8,"Twelfth","The Pyramid at the End of the World",7.6,"Good"
10,9,"Twelfth","The Lie of the Land",7.1,"Regular"
10,10,"Twelfth","Empress of Mars",7,"Regular"
10,11,"Twelfth","The Eaters of Light",6.9,"Regular"
10,12,"Twelfth","World Enough and Time",9.2,"Great"
10,13,"Twelfth","The Doctor Falls",9,"Great"
11,1,"Thirteenth","Twice Upon a Time",8.1,"Good"
11,2,"Thirteenth","The Woman Who Fell to Earth",6.9,"Regular"
11,3,"Thirteenth","The Ghost Monument",6,"Bad"
11,4,"Thirteenth","Rosa",7,"Regular"
11,5,"Thirteenth","Arachnids in the UK",5,"Bad"
11,6,"Thirteenth","The Tsuranga Conundrum",4.9,"Garbage"
11,7,"Thirteenth","Demons of the Punjab",6.4,"Bad"
11,8,"Thirteenth","Kerblam!",6.2,"Bad"
11,9,"Thirteenth","The Witchfinders",5.6,"Bad"
11,10,"Thirteenth","It Takes You Away",6.1,"Bad"
11,11,"Thirteenth","The Battle of Ranskoor Av Kolos",5.1,"Bad"
11,12,"Thirteenth","Resolution",5.7,"Bad"
12,1,"Thirteenth","Spyfall: Part One",6.6,"Regular"
12,2,"Thirteenth","Spyfall: Part Two",6.5,"Regular"
12,3,"Thirteenth","Orphan 55",4.1,"Garbage"
12,4,"Thirteenth","Nikola Tesla's Night of Terror",6.5,"Regular"
12,5,"Thirteenth","Fugitive of the Judoon",7.6,"Good"
12,6,"Thirteenth","Praxeus",5.2,"Bad"
12,7,"Thirteenth","Can You Hear Me?",5.8,"Bad"
12,8,"Thirteenth","The Haunting of Villa Diodati",7.2,"Regular"
12,9,"Thirteenth","Ascension of the Cybermen",6.9,"Regular"
12,10,"Thirteenth","The Timeless Children",5.5,"Bad"
